iter	Passed	Remaining
0	0	92
1	1	55
2	1	43
3	1	35
4	1	31
5	1	29
6	2	27
7	2	26
8	2	25
9	2	24
10	2	23
11	3	23
12	3	22
13	3	21
14	3	21
15	3	20
16	4	20
17	4	19
18	4	19
19	4	19
20	4	18
21	5	18
22	5	17
23	5	17
24	5	17
25	5	17
26	6	16
27	6	16
28	6	16
29	6	15
30	7	15
31	7	15
32	7	15
33	7	14
34	7	14
35	8	14
36	8	13
37	8	13
38	8	13
39	8	13
40	9	12
41	9	12
42	9	12
43	9	12
44	9	11
45	9	11
46	10	11
47	10	11
48	10	10
49	10	10
50	10	10
51	11	10
52	11	10
53	11	9
54	11	9
55	11	9
56	12	9
57	12	9
58	12	8
59	13	8
60	13	8
61	13	8
62	13	8
63	13	7
64	14	7
65	14	7
66	14	7
67	14	6
68	15	6
69	15	6
70	15	6
71	15	6
72	15	5
73	16	5
74	16	5
75	16	5
76	16	5
77	16	4
78	17	4
79	17	4
80	17	4
81	17	3
82	18	3
83	18	3
84	18	3
85	18	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	1
91	20	1
92	20	1
93	20	1
94	20	1
95	21	0
96	21	0
97	21	0
98	21	0
99	22	0
