iter	Passed	Remaining
0	57	57357
1	57	28862
2	58	19319
3	58	14542
4	58	11692
5	59	9776
6	59	8412
7	59	7379
8	59	6582
9	60	5940
10	60	5417
11	60	4981
12	60	4614
13	61	4300
14	61	4024
15	61	3784
16	61	3572
17	62	3383
18	62	3215
19	62	3062
20	62	2924
21	63	2803
22	63	2690
23	63	2586
24	63	2488
25	64	2400
26	64	2317
27	64	2240
28	64	2171
29	65	2105
30	65	2041
31	65	1982
32	65	1926
33	66	1875
34	66	1825
35	66	1778
36	66	1734
37	66	1692
38	67	1652
39	67	1615
40	67	1579
41	67	1545
42	67	1512
43	68	1481
44	68	1451
45	68	1422
46	68	1394
47	68	1368
48	69	1343
49	69	1318
50	69	1296
51	69	1273
52	70	1251
53	70	1231
54	70	1211
55	70	1192
56	70	1174
57	71	1156
58	71	1139
59	71	1122
60	71	1106
61	72	1091
62	72	1075
63	72	1061
64	73	1053
65	73	1039
66	73	1026
67	73	1013
68	74	1001
69	74	989
70	74	977
71	74	965
72	75	955
73	75	944
74	75	933
75	76	924
76	76	915
77	76	906
78	76	896
79	77	888
80	77	879
81	77	871
82	77	861
83	78	853
84	78	844
85	78	836
86	78	828
87	79	820
88	79	812
89	79	804
90	79	797
91	80	790
92	80	782
93	80	775
94	80	769
95	80	762
96	81	755
97	81	748
98	81	742
99	81	736
100	81	729
101	82	723
102	82	717
103	82	712
104	82	707
105	83	701
106	83	696
107	83	691
108	83	686
109	84	681
110	84	677
111	84	672
112	85	667
113	85	662
114	85	658
115	85	653
116	85	648
117	86	644
118	86	640
119	86	636
120	87	633
121	87	628
122	87	625
123	87	621
124	88	618
125	88	615
126	88	611
127	89	607
128	89	604
129	89	601
130	90	599
131	90	596
132	91	593
133	91	589
134	91	586
135	91	583
136	92	579
137	92	576
138	92	573
139	92	569
140	92	566
141	93	562
142	93	559
143	93	555
144	93	552
145	93	549
146	94	546
147	94	542
148	94	540
149	94	537
150	95	534
151	95	531
152	95	528
153	95	525
154	95	523
155	96	520
156	96	518
157	96	515
158	97	513
159	97	510
160	97	507
161	97	505
162	97	503
163	98	501
164	98	499
165	98	496
166	99	494
167	99	491
168	99	489
169	99	486
170	99	484
171	100	482
172	100	480
173	100	478
174	101	477
175	101	475
176	101	473
177	102	471
178	102	469
179	103	469
180	103	468
181	103	466
182	103	464
183	104	462
184	104	460
185	104	459
186	105	457
187	105	455
188	105	454
189	106	452
190	106	450
191	106	448
192	106	446
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	436
199	108	434
200	108	432
201	109	431
202	109	429
203	109	428
204	109	426
205	110	424
206	110	422
207	110	421
208	111	420
209	111	418
210	111	417
211	111	416
212	112	414
213	112	413
214	112	411
215	113	410
216	113	408
217	113	407
218	113	405
219	114	404
220	114	402
221	114	401
222	114	400
223	115	398
224	115	397
225	115	395
226	115	394
227	116	392
228	116	391
229	116	390
230	117	389
231	117	388
232	117	387
233	117	386
234	118	385
235	118	383
236	118	382
237	119	381
238	119	380
239	119	379
240	120	378
241	120	377
242	120	375
243	120	374
244	121	373
245	121	372
246	121	371
247	121	369
248	122	368
249	122	367
250	122	366
251	123	365
252	123	364
253	123	363
254	123	361
255	124	360
256	124	359
257	124	358
258	124	356
259	125	355
260	125	354
261	125	353
262	125	352
263	126	351
264	126	350
265	126	349
266	126	348
267	127	347
268	127	345
269	127	344
270	127	343
271	128	342
272	128	341
273	128	341
274	129	340
275	129	339
276	129	338
277	129	337
278	130	336
279	130	335
280	130	334
281	130	333
282	131	332
283	131	331
284	131	330
285	132	329
286	132	329
287	132	328
288	133	327
289	133	326
290	133	325
291	133	324
292	134	324
293	134	323
294	134	322
295	135	321
296	135	321
297	135	320
298	136	319
299	136	318
300	136	317
301	137	316
302	137	316
303	137	315
304	138	314
305	138	313
306	138	313
307	138	312
308	139	311
309	139	310
310	139	309
311	140	308
312	140	307
313	140	306
314	140	306
315	141	305
316	141	304
317	141	303
318	141	302
319	142	302
320	142	301
321	142	300
322	143	299
323	143	299
324	143	298
325	143	297
326	144	296
327	144	295
328	144	294
329	144	294
330	145	293
331	145	292
332	145	291
333	145	290
334	146	290
335	146	289
336	146	288
337	147	288
338	147	287
339	147	286
340	148	286
341	148	285
342	148	284
343	148	283
344	149	283
345	149	282
346	149	281
347	150	281
348	150	280
349	150	280
350	151	279
351	151	278
352	151	277
353	151	277
354	152	276
355	152	275
356	152	275
357	153	274
358	153	273
359	153	273
360	153	272
361	154	271
362	154	270
363	154	270
364	154	269
365	155	268
366	155	268
367	155	267
368	155	266
369	156	265
370	156	265
371	156	264
372	156	263
373	157	263
374	157	262
375	157	262
376	158	261
377	158	260
378	158	260
379	159	259
380	159	259
381	159	258
382	160	257
383	160	257
384	160	256
385	160	255
386	161	255
387	161	254
388	161	254
389	162	253
390	162	253
391	162	252
392	163	251
393	163	251
394	163	250
